Date, Date modified: 2024-11  missing value -999 https://psl.noaa.gov/data/timeseries/month/
1966-04-01,  972.000
1966-05-01,  985.000
1966-06-01,  963.000
1966-07-01, 1067.000
1966-08-01, 1066.000
1966-09-01, 1109.000
1966-10-01, 1086.000
1966-11-01, 1133.000
1966-12-01, 1246.000
1967-01-01, 1477.000
1967-02-01, 1470.000
1967-03-01, 1606.000
1967-04-01, 1299.000
1967-05-01, 1430.000
1967-06-01, 1202.000
1967-07-01, 1403.000
1967-08-01, 1537.000
1967-09-01, 1321.000
1967-10-01, 1361.000
1967-11-01, 1453.000
1967-12-01, 1630.000
1968-01-01, 1891.000
1968-02-01, 1732.000
1968-03-01, 1426.000
1968-04-01, 1295.000
1968-05-01, 1549.000
1968-06-01, 1423.000
1968-07-01, 1372.000
1968-08-01, 1422.000
1968-09-01, 1410.000
1968-10-01, 1525.000
1968-11-01, 1385.000
1968-12-01, 1484.000
1969-01-01, 1527.000
1969-02-01, 1552.000
1969-03-01, 1723.000
1969-04-01, 1555.000
1969-05-01, 1454.000
1969-06-01, 1622.000
1969-07-01, 1366.000
1969-08-01, 1430.000
1969-09-01, 1373.000
1969-10-01, 1540.000
1969-11-01, 1567.000
1969-12-01, 1436.000
1970-01-01, 1583.000
1970-02-01, 1754.000
1970-03-01, 1584.000
1970-04-01, 1620.000
1970-05-01, 1684.000
1970-06-01, 1549.000
1970-07-01, 1520.000
1970-08-01, 1382.000
1970-09-01, 1432.000
1970-10-01, 1483.000
1970-11-01, 1620.000
1970-12-01, 1528.000
1971-01-01, 1626.000
1971-02-01, 1378.000
1971-03-01, 1119.000
1971-04-01, 1167.000
1971-05-01, 1099.000
1971-06-01, 1017.000
1971-07-01, 1174.000
1971-08-01, 1141.000
1971-09-01, 1040.000
1971-10-01, 1072.000
1971-11-01, 1140.000
1971-12-01, 1245.000
1972-01-01, 1148.000
1972-02-01, 1418.000
1972-03-01, 1285.000
1972-04-01, 1129.000
1972-05-01, 1296.000
1972-06-01, 1354.000
1972-07-01, 1220.000
1972-08-01, 1257.000
1972-09-01, 1136.000
1972-10-01, 1211.000
1972-11-01, 1016.000
1972-12-01, 1029.000
1973-01-01, 1022.000
1973-02-01,  987.000
1973-03-01, 1004.000
1973-04-01, 1050.000
1973-05-01,  970.000
1973-06-01,  912.000
1973-07-01,  845.000
1973-08-01,  829.000
1973-09-01, 1056.000
1973-10-01,  877.000
1973-11-01,  815.000
1973-12-01,  842.000
1974-01-01,  831.000
1974-02-01,  809.000
1974-03-01,  792.000
1974-04-01,  861.000
1974-05-01,  906.000
1974-06-01,  863.000
1974-07-01,  925.000
1974-08-01,  830.000
1974-09-01,  878.000
1974-10-01,  976.000
1974-11-01,  903.000
1974-12-01,  811.000
1975-01-01,  775.000
1975-02-01,  742.000
1975-03-01,  724.000
1975-04-01,  707.000
1975-05-01,  701.000
1975-06-01,  697.000
1975-07-01,  772.000
1975-08-01,  904.000
1975-09-01,  796.000
1975-10-01,  757.000
1975-11-01,  808.000
1975-12-01,  746.000
1976-01-01,  747.000
1976-02-01,  705.000
1976-03-01,  767.000
1976-04-01,  763.000
1976-05-01,  706.000
1976-06-01,  706.000
1976-07-01,  675.000
1976-08-01,  748.000
1976-09-01,  731.000
1976-10-01,  759.000
1976-11-01,  729.000
1976-12-01,  767.000
1977-01-01,  774.000
1977-02-01,  823.000
1977-03-01,  766.000
1977-04-01,  776.000
1977-05-01,  796.000
1977-06-01,  915.000
1977-07-01,  811.000
1977-08-01,  843.000
1977-09-01,  999.000
1977-10-01,  969.000
1977-11-01,  937.000
1977-12-01, 1021.000
1978-01-01, 1096.000
1978-02-01, 1454.000
1978-03-01, 1418.000
1978-04-01, 1494.000
1978-05-01, 1465.000
1978-06-01, 1422.000
1978-07-01, 1311.000
1978-08-01, 1140.000
1978-09-01, 1579.000
1978-10-01, 1582.000
1978-11-01, 1515.000
1978-12-01, 1755.000
1979-01-01, 2030.000
1979-02-01, 2041.000
1979-03-01, 1858.000
1979-04-01, 1738.000
1979-05-01, 1652.000
1979-06-01, 1803.000
1979-07-01, 1659.000
1979-08-01, 1727.000
1979-09-01, 2002.000
1979-10-01, 2179.000
1979-11-01, 2317.000
1979-12-01, 2035.000
1980-01-01, 2062.000
1980-02-01, 2000.000
1980-03-01, 1681.000
1980-04-01, 2079.000
1980-05-01, 2240.000
1980-06-01, 1932.000
1980-07-01, 1848.000
1980-08-01, 1662.000
1980-09-01, 1839.000
1980-10-01, 2042.000
1980-11-01, 2181.000
1980-12-01, 2258.000
1981-01-01, 1746.000
1981-02-01, 2045.000
1981-03-01, 2053.000
1981-04-01, 2232.000
1981-05-01, 1946.000
1981-06-01, 1569.000
1981-07-01, 1919.000
1981-08-01, 2206.000
1981-09-01, 2195.000
1981-10-01, 2243.000
1981-11-01, 2078.000
1981-12-01, 2078.000
1982-01-01, 1790.000
1982-02-01, 2142.000
1982-03-01, 2105.000
1982-04-01, 1618.000
1982-05-01, 1447.000
1982-06-01, 1719.000
1982-07-01, 1596.000
1982-08-01, 1679.000
1982-09-01, 1653.000
1982-10-01, 1619.000
1982-11-01, 1674.000
1982-12-01, 1994.000
1983-01-01, 1423.000
1983-02-01, 1226.000
1983-03-01, 1186.000
1983-04-01, 1189.000
1983-05-01, 1371.000
1983-06-01, 1386.000
1983-07-01, 1250.000
1983-08-01, 1244.000
1983-09-01, 1090.000
1983-10-01, 1124.000
1983-11-01,  925.000
1983-12-01,  934.000
1984-01-01, 1161.000
1984-02-01, 1406.000
1984-03-01, 1220.000
1984-04-01, 1287.000
1984-05-01, 1283.000
1984-06-01, 1003.000
1984-07-01,  893.000
1984-08-01,  837.000
1984-09-01,  781.000
1984-10-01,  735.000
1984-11-01,  763.000
1984-12-01,  759.000
1985-01-01,  745.000
1985-02-01,  737.000
1985-03-01,  733.000
1985-04-01,  751.000
1985-05-01,  802.000
1985-06-01,  761.000
1985-07-01,  787.000
1985-08-01,  715.000
1985-09-01,  695.000
1985-10-01,  747.000
1985-11-01,  742.000
1985-12-01,  748.000
1986-01-01,  732.000
1986-02-01,  836.000
1986-03-01,  770.000
1986-04-01,  751.000
1986-05-01,  726.000
1986-06-01,  676.000
1986-07-01,  702.000
1986-08-01,  684.000
1986-09-01,  687.000
1986-10-01,  830.000
1986-11-01,  771.000
1986-12-01,  726.000
1987-01-01,  725.000
1987-02-01,  715.000
1987-03-01,  740.000
1987-04-01,  849.000
1987-05-01,  878.000
1987-06-01,  779.000
1987-07-01,  842.000
1987-08-01,  900.000
1987-09-01,  861.000
1987-10-01,  981.000
1987-11-01, 1012.000
1987-12-01,  944.000
1988-01-01, 1080.000
1988-02-01, 1050.000
1988-03-01, 1149.000
1988-04-01, 1227.000
1988-05-01, 1152.000
1988-06-01, 1394.000
1988-07-01, 1527.000
1988-08-01, 1542.000
1988-09-01, 1525.000
1988-10-01, 1698.000
1988-11-01, 1562.000
1988-12-01, 1998.000
1989-01-01, 2354.000
1989-02-01, 2224.000
1989-03-01, 2051.000
1989-04-01, 1896.000
1989-05-01, 1901.000
1989-06-01, 2396.000
1989-07-01, 1819.000
1989-08-01, 2171.000
1989-09-01, 2259.000
1989-10-01, 2087.000
1989-11-01, 2351.000
1989-12-01, 2130.000
1990-01-01, 2101.000
1990-02-01, 1783.000
1990-03-01, 1888.000
1990-04-01, 1853.000
1990-05-01, 1897.000
1990-06-01, 1709.000
1990-07-01, 1807.000
1990-08-01, 2226.000
1990-09-01, 1774.000
1990-10-01, 1820.000
1990-11-01, 1843.000
1990-12-01, 2049.000
1991-01-01, 2294.000
1991-02-01, 2430.000
1991-03-01, 2300.000
1991-04-01, 1988.000
1991-05-01, 1903.000
1991-06-01, 2068.000
1991-07-01, 2120.000
1991-08-01, 2103.000
1991-09-01, 1806.000
1991-10-01, 2013.000
1991-11-01, 1720.000
1991-12-01, 2239.000
1992-01-01, 2176.000
1992-02-01, 2321.000
1992-03-01, 1713.000
1992-04-01, 1585.000
1992-05-01, 1254.000
1992-06-01, 1167.000
1992-07-01, 1322.000
1992-08-01, 1221.000
1992-09-01, 1168.000
1992-10-01, 1317.000
1992-11-01, 1452.000
1992-12-01, 1391.000
1993-01-01, 1210.000
1993-02-01, 1426.000
1993-03-01, 1364.000
1993-04-01, 1159.000
1993-05-01, 1124.000
1993-06-01, 1093.000
1993-07-01,  990.000
1993-08-01,  937.000
1993-09-01,  870.000
1993-10-01, 1003.000
1993-11-01,  959.000
1993-12-01, 1048.000
1994-01-01, 1150.000
1994-02-01,  996.000
1994-03-01,  904.000
1994-04-01,  791.000
1994-05-01,  799.000
1994-06-01,  773.000
1994-07-01,  805.000
1994-08-01,  761.000
1994-09-01,  790.000
1994-10-01,  877.000
1994-11-01,  809.000
1994-12-01,  774.000
1995-01-01,  827.000
1995-02-01,  856.000
1995-03-01,  851.000
1995-04-01,  777.000
1995-05-01,  755.000
1995-06-01,  757.000
1995-07-01,  739.000
1995-08-01,  738.000
1995-09-01,  720.000
1995-10-01,  779.000
1995-11-01,  742.000
1995-12-01,  726.000
1996-01-01,  745.000
1996-02-01,  715.000
1996-03-01,  707.000
1996-04-01,  693.000
1996-05-01,  701.000
1996-06-01,  696.000
1996-07-01,  712.000
1996-08-01,  724.000
1996-09-01,  694.000
1996-10-01,  692.000
1996-11-01,  787.000
1996-12-01,  778.000
1997-01-01,  740.000
1997-02-01,  738.000
1997-03-01,  735.000
1997-04-01,  745.000
1997-05-01,  746.000
1997-06-01,  717.000
1997-07-01,  711.000
1997-08-01,  790.000
1997-09-01,  962.000
1997-10-01,  849.000
1997-11-01,  995.000
1997-12-01,  988.000
1998-01-01,  934.000
1998-02-01,  934.000
1998-03-01, 1091.000
1998-04-01, 1083.000
1998-05-01, 1067.000
1998-06-01, 1084.000
1998-07-01, 1140.000
1998-08-01, 1360.000
1998-09-01, 1383.000
1998-10-01, 1173.000
1998-11-01, 1402.000
1998-12-01, 1501.000
1999-01-01, 1426.000
1999-02-01, 1420.000
1999-03-01, 1263.000
1999-04-01, 1172.000
1999-05-01, 1486.000
1999-06-01, 1698.000
1999-07-01, 1656.000
1999-08-01, 1708.000
1999-09-01, 1357.000
1999-10-01, 1648.000
1999-11-01, 1915.000
1999-12-01, 1698.000
2000-01-01, 1581.000
2000-02-01, 1732.000
2000-03-01, 2082.000
2000-04-01, 1842.000
2000-05-01, 1845.000
2000-06-01, 1798.000
2000-07-01, 2047.000
2000-08-01, 1631.000
2000-09-01, 1821.000
2000-10-01, 1677.000
2000-11-01, 1788.000
2000-12-01, 1736.000
2001-01-01, 1666.000
2001-02-01, 1467.000
2001-03-01, 1777.000
2001-04-01, 1781.000
2001-05-01, 1479.000
2001-06-01, 1737.000
2001-07-01, 1313.000
